panel,horizon_sessions,fold,train_start,train_end,test_start,test_end,selected_count,selected_drivers,baseline_s_f,baseline_s_inf,baseline_effective_rank,selected_s_f,selected_s_inf,selected_effective_rank,delta_s_f,relative_reduction_s_f
equities_150,5,4,2012-10-18,2014-11-11,2014-11-18,2015-05-21,2,Cboe Volatility Index | Generic 1st 'GX' Future,0.3333599403896788,0.9096508911105508,14.99304782971824,0.2575585883505339,0.8577388910779522,16.23480113199487,-0.0758013520391449,0.2273859059086026
equities_150,5,5,2013-05-01,2015-05-21,2015-05-29,2015-11-27,1,Cboe Volatility Index,0.5264611365469994,0.9643897868496129,9.760134799093942,0.2470914881198778,0.92705198843145,16.730101899248552,-0.2793696484271216,0.5306557864070962
equities_150,5,6,2013-11-04,2015-11-27,2015-12-04,2016-06-08,1,Cboe Volatility Index,0.4750231279848694,0.960091153781484,9.087113511340336,0.2923589108728375,0.935662284571134,12.77078502795368,-0.1826642171120319,0.3845375232295009
equities_150,5,7,2014-05-15,2016-06-08,2016-06-15,2016-12-13,2,Cboe Volatility Index | CAD-JPY X-RATE,0.3150338726579246,0.9518596638279224,13.809042986201028,0.2912806734438383,0.9608400518389416,15.443837046291923,-0.0237531992140862,0.0753988738216679
equities_150,5,8,2014-11-18,2016-12-13,2016-12-20,2017-06-23,3,Cboe Volatility Index | Pan-European High Yield | U.S. Treasury,0.2741814621838155,0.8714787320697148,16.381060702613173,0.2380864117780745,0.8995827002860144,18.02872115032339,-0.036095050405741,0.13164657492979
equities_150,5,9,2015-05-29,2017-06-23,2017-06-30,2017-12-28,3,Cboe Volatility Index | Pan-European High Yield | U.S. Treasury,0.2426385257916832,0.917518094866458,17.038025487655503,0.2633560807706077,0.9192920230428578,16.950406457706165,0.0207175549789244,-0.0853844413673675
equities_150,5,10,2015-12-04,2017-12-28,2018-01-05,2018-07-06,3,Cboe Volatility Index | Pan-European High Yield | U.S. Treasury,0.3799162113917682,0.942438219719471,13.666979972731363,0.2397685454354371,0.9175495087571244,19.17849582299088,-0.140147665956331,0.3688909863649152
equities_150,5,11,2016-06-15,2018-07-06,2018-07-13,2019-01-11,3,Cboe Volatility Index | Generic 1st 'FV' Future | Global High Yield,0.3791061960133087,0.9527153060148256,13.136905616244746,0.2769748114714651,0.9665843848209398,17.140459550817127,-0.1021313845418435,0.269400462498002
equities_150,5,12,2016-12-20,2019-01-11,2019-01-18,2019-07-22,2,Cboe Volatility Index | NIKKEI 225,0.2899633757997092,0.960341661124858,17.493552479502892,0.246536192210319,0.9486212258407908,19.059039925739302,-0.0434271835893902,0.1497678231591128
equities_150,5,13,2017-06-30,2019-07-22,2019-07-29,2020-01-27,2,Cboe Volatility Index | NIKKEI 225,0.3799416158497403,0.9386241613553922,12.162029041092971,0.2719448898703154,0.877275167125525,17.207100576811325,-0.1079967259794248,0.284245582674301
equities_150,5,14,2018-01-05,2020-01-27,2020-02-03,2020-07-31,2,Cboe Volatility Index | NIKKEI 225,0.5296916818861425,0.9682373065017568,5.765145705827878,0.4091440709578386,0.9671762581564612,8.006493560885332,-0.1205476109283038,0.227580713555958
equities_150,5,15,2018-07-13,2020-07-31,2020-08-07,2021-02-10,6,Generic 1st 'Z ' Future | British Pound Spot | U.S. Corporate High Yield | Cboe Volatility Index | USD-CLP RR 25D 3M | U.S. TIPS,0.3394291283500189,0.9268031270360746,13.14710114421084,0.266282119783583,0.8917792651988729,16.174045262321187,-0.0731470085664359,0.2155000925289087
equities_150,5,16,2019-01-18,2021-02-10,2021-02-18,2021-08-18,5,Generic 1st 'Z ' Future | British Pound Spot | U.S. Corporate High Yield | Cboe Volatility Index | Pan-European High Yield,0.3100914673417436,0.9403342560296772,14.2114327804295,0.2677926023506101,0.8925583648064702,16.91350770570849,-0.0422988649911334,0.1364077036809174
equities_150,5,17,2019-07-29,2021-08-18,2021-08-25,2022-02-24,5,Generic 1st 'Z ' Future | British Pound Spot | Cboe Volatility Index | U.S. Corporate High Yield | Pan-European High Yield,0.3793983999548279,0.9362595621587356,12.565887298545425,0.2479271395818907,0.9031336416208492,16.150392424593882,-0.1314712603729372,0.3465256057711114
equities_150,5,18,2020-02-03,2022-02-24,2022-03-03,2022-09-02,4,Generic 1st 'Z ' Future | U.S. Corporate High Yield | Cboe Volatility Index | Pan-European High Yield,0.497440411602265,0.960894474289366,9.275905711982077,0.287957934371869,0.9380305248328192,14.063730577601916,-0.209482477230396,0.421120746011867
equities_150,5,19,2020-08-07,2022-09-02,2022-09-12,2023-03-13,4,Generic 1st 'CF' Future | Cboe Volatility Index | U.S. Corporate High Yield | IBEX 35 INDEX,0.4706007025082446,0.9404202797568296,9.158139853506803,0.2614002327789858,0.8984101199456239,17.535407163084724,-0.2092004697292587,0.4445392210726538
