design,rep,method,frobenius_relative,realized_variance,calibration
ar1_gaussian,31,sample,0.5079154907354825,2.3974226751779535e-06,1.4075400396982782
ar1_gaussian,31,ledoit_wolf,0.506354047808691,2.3491419865983806e-06,1.2692307795784727
ar1_gaussian,31,oas,0.5063759956970273,2.349883790552086e-06,1.271477435514546
ar1_gaussian,31,pca4,0.507341576676063,2.2116413030600717e-06,1.2406601434240039
ar1_gaussian,31,structured_q0,0.5073782125235937,2.2087352436576514e-06,1.1599512165780932
ar1_gaussian,31,residual_qr_50,0.5075887746813003,2.2298964204723252e-06,1.1947063852785815
ar1_gaussian,32,sample,0.6083757289682485,2.591110648442204e-06,1.28306937916738
ar1_gaussian,32,ledoit_wolf,0.601028913438517,2.5398179842007754e-06,1.171114660779868
ar1_gaussian,32,oas,0.6010400880249637,2.539898387748661e-06,1.1712989298414633
ar1_gaussian,32,pca4,0.6117131081957995,2.2829270178602325e-06,1.1247326297351827
ar1_gaussian,32,structured_q0,0.6087230217454609,2.2710722459115927e-06,1.0511867174814014
ar1_gaussian,32,residual_qr_50,0.6084518052933859,2.342808292615488e-06,1.0848915101032954
ar1_gaussian,33,sample,0.5189174556714762,3.192980704186771e-06,1.7855032456071436
ar1_gaussian,33,ledoit_wolf,0.5220124968592067,3.117338040629498e-06,1.6032972678795454
ar1_gaussian,33,oas,0.5219827423791517,3.118039269909999e-06,1.6050603782495252
ar1_gaussian,33,pca4,0.5166721933361734,2.923778128905391e-06,1.4954153091782736
ar1_gaussian,33,structured_q0,0.5188803470656873,2.93033460835022e-06,1.4025594202381193
ar1_gaussian,33,residual_qr_50,0.5188510443617264,2.908604484792479e-06,1.4391501299135305
ar1_gaussian,34,sample,0.4245729621530467,2.532920925099366e-06,1.3481741222608263
ar1_gaussian,34,ledoit_wolf,0.42252695542780094,2.46011695643611e-06,1.2243700764625824
ar1_gaussian,34,oas,0.4224605310532149,2.4574512280559676e-06,1.2196467154428852
ar1_gaussian,34,pca4,0.42533038450478744,2.040712322748592e-06,1.1126270138255747
ar1_gaussian,34,structured_q0,0.42385677624691026,2.0391041349892308e-06,1.038235017497798
ar1_gaussian,34,residual_qr_50,0.42411544265098566,2.1791773090069897e-06,1.0988792373897438
ar1_gaussian,35,sample,0.44390189560976684,2.2739779424587158e-06,1.4265346979892146
ar1_gaussian,35,ledoit_wolf,0.4464478792000404,2.245649377754989e-06,1.3060774376597242
ar1_gaussian,35,oas,0.44644365726016993,2.245694257914461e-06,1.3062834630565507
ar1_gaussian,35,pca4,0.4409465004262522,2.2401296629805713e-06,1.3222338734778474
ar1_gaussian,35,structured_q0,0.44361937894324904,2.2205334286322782e-06,1.2265146128631412
ar1_gaussian,35,residual_qr_50,0.4437067395016913,2.171781803787691e-06,1.2292784363960398
ar1_gaussian,36,sample,0.5509984980273246,3.204880996964716e-06,1.636828127802037
ar1_gaussian,36,ledoit_wolf,0.5430555584092303,3.1609770054919925e-06,1.505491159218907
ar1_gaussian,36,oas,0.5426416096661845,3.158560009877226e-06,1.497882555300464
ar1_gaussian,36,pca4,0.5556154516902728,2.906689527189926e-06,1.418432985362036
ar1_gaussian,36,structured_q0,0.5513984026357069,2.9056992208342475e-06,1.3403892358726281
ar1_gaussian,36,residual_qr_50,0.5511024695458178,2.9803307839109653e-06,1.4116329151585036
ar1_gaussian,37,sample,0.6225503696233482,2.5330454033383145e-06,1.4833883335504503
ar1_gaussian,37,ledoit_wolf,0.6255301758944977,2.4887344755224273e-06,1.3403615342717876
ar1_gaussian,37,oas,0.6255760859503697,2.4880624436367542e-06,1.3380879374188939
ar1_gaussian,37,pca4,0.6210020858687156,2.280826009217575e-06,1.2237809832750004
ar1_gaussian,37,structured_q0,0.6223120223733026,2.2644115807923785e-06,1.1352155222977613
ar1_gaussian,37,residual_qr_50,0.6224067946885079,2.3212999726479552e-06,1.2081287887587018
ar1_gaussian,38,sample,0.6226213965166695,1.757377452070148e-06,0.9234757698613036
ar1_gaussian,38,ledoit_wolf,0.6132290006684686,1.7349543756478073e-06,0.8634677021860544
ar1_gaussian,38,oas,0.6122217635035078,1.7324256525123486e-06,0.8561315434126412
ar1_gaussian,38,pca4,0.6273993903419833,1.6635958128353696e-06,0.943774605794393
ar1_gaussian,38,structured_q0,0.6222137062705299,1.650698408776136e-06,0.876957376288722
ar1_gaussian,38,residual_qr_50,0.6223258766406751,1.6488972256626146e-06,0.8453318216556378
ar1_gaussian,39,sample,0.39040905166660606,1.977694955449751e-06,1.0392410537950971
ar1_gaussian,39,ledoit_wolf,0.3906261869866539,1.912996781714676e-06,0.9342423590369529
ar1_gaussian,39,oas,0.39063521749601693,1.9115531207803975e-06,0.9317846172880827
ar1_gaussian,39,pca4,0.38924580170792594,1.6240934601143054e-06,0.9577302920068017
ar1_gaussian,39,structured_q0,0.3909295546892362,1.6149943668100747e-06,0.8842994341000919
ar1_gaussian,39,residual_qr_50,0.3906072102448686,1.7148763213321613e-06,0.8910838526253706
ar1_gaussian,40,sample,0.39766628242385826,3.1682021267173906e-06,1.6426866242363702
ar1_gaussian,40,ledoit_wolf,0.40172204553420154,3.1013406578224176e-06,1.5071840772565825
ar1_gaussian,40,oas,0.4017141057446661,3.101471454245555e-06,1.507461061199463
ar1_gaussian,40,pca4,0.391812970648516,2.693124633333621e-06,1.2406756171881435
ar1_gaussian,40,structured_q0,0.3965666667074059,2.6958390238986883e-06,1.16279644456102
