training_days,fold_id,date,method,gross_return
504,9,2017-04-12,sample_covariance,-0.0004735166268025387
504,9,2017-04-13,sample_covariance,-0.004431455336980292
504,9,2017-04-17,sample_covariance,0.00539619396476893
504,9,2017-04-18,sample_covariance,-0.001511587594247772
504,9,2017-04-19,sample_covariance,0.00590844257517721
504,9,2017-04-20,sample_covariance,0.004946582027623131
504,9,2017-04-21,sample_covariance,-0.001410650687628402
504,9,2017-04-24,sample_covariance,-0.002607088826777892
504,9,2017-04-25,sample_covariance,0.0055669131514246364
504,9,2017-04-26,sample_covariance,0.0008366162716469539
504,9,2017-04-27,sample_covariance,-0.0008156851296140294
504,9,2017-04-28,sample_covariance,-0.0055743469008303365
504,9,2017-05-02,sample_covariance,-0.0025229025495563232
504,9,2017-05-03,sample_covariance,0.007473138928723789
504,9,2017-05-04,sample_covariance,0.008547761825781925
504,9,2017-05-05,sample_covariance,0.004240775004092267
504,9,2017-05-08,sample_covariance,-0.0025609754583521315
504,9,2017-05-09,sample_covariance,0.01041928499629433
504,9,2017-05-10,sample_covariance,0.00014598681383254407
504,9,2017-05-11,sample_covariance,-0.0009307351791994272
504,9,2017-05-12,sample_covariance,-0.006057334528160744
504,9,2017-05-16,sample_covariance,-0.006229235233913932
504,9,2017-05-18,sample_covariance,0.006326773803708491
504,9,2017-05-19,sample_covariance,0.011278541161193726
504,9,2016-11-10,ridge_10pct,-0.004177872214203075
504,9,2016-11-11,ridge_10pct,0.005718120930267999
504,9,2016-11-14,ridge_10pct,-0.0003026965348809129
504,9,2016-11-15,ridge_10pct,-0.000303041039377586
504,9,2016-11-16,ridge_10pct,0.008272158286448028
504,9,2016-11-17,ridge_10pct,0.0064589980863928335
504,9,2016-11-18,ridge_10pct,-0.004120461442315136
504,9,2016-11-21,ridge_10pct,0.0011432111222559414
504,9,2016-11-22,ridge_10pct,-0.0038282507763785743
504,9,2016-11-23,ridge_10pct,0.0015735276566143635
504,9,2016-11-25,ridge_10pct,0.005356732358860003
504,9,2016-11-28,ridge_10pct,-0.005435695447157212
504,9,2016-11-29,ridge_10pct,0.0006173835365975719
504,9,2016-11-30,ridge_10pct,-0.009898811969169308
504,9,2016-12-01,ridge_10pct,-0.00674170226907377
504,9,2016-12-02,ridge_10pct,0.006360722865361776
504,9,2016-12-05,ridge_10pct,0.00024082094078432153
504,9,2016-12-06,ridge_10pct,0.0005233490835033952
504,9,2016-12-07,ridge_10pct,0.0084987095345724
504,9,2016-12-08,ridge_10pct,-0.0020655540723131674
504,9,2016-12-09,ridge_10pct,0.010960632671497798
504,9,2016-12-12,ridge_10pct,0.005855500940092563
504,9,2016-12-13,ridge_10pct,0.0010382166585522184
504,9,2016-12-14,ridge_10pct,-0.007898245267191451
504,9,2016-12-15,ridge_10pct,0.00515270510276111
504,9,2016-12-16,ridge_10pct,0.0043065898854331
504,9,2016-12-19,ridge_10pct,0.0011427925077004738
504,9,2016-12-20,ridge_10pct,-0.0007837304140067257
504,9,2016-12-21,ridge_10pct,-0.002524356338878275
504,9,2016-12-22,ridge_10pct,-0.0008650358725777389
504,9,2016-12-23,ridge_10pct,0.004214302278985071
