panel,training_days,metric,reference,comparison,folds,mean_difference,standard_error,bootstrap_ci_lower,bootstrap_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,sign_flip_p_raw,sign_flip_p_familywise,fraction_reference_better
B,504,realized_variance,residual_aware_qr,poet_soft_c0_5,21,1.7307579342269543e-06,4.219116797858174e-06,-4.266232866580113e-06,1.1520957032238946e-05,-8.506187181463591e-06,1.1967703049917499e-05,0.9371031448427578,1.0,0.7619047619047619
B,504,realized_variance,residual_aware_qr,ridge_10pct,21,1.38635643166267e-06,2.7298604566009127e-06,-3.0814659511785646e-06,7.272609943454786e-06,-5.221377658666192e-06,7.994090521991533e-06,0.7140642967851607,1.0,0.7142857142857143
B,504,realized_variance,residual_aware_qr,sample_covariance,21,-8.915876569179183e-06,4.769641290764056e-06,-1.6782943451284886e-05,1.5261090725315513e-06,-2.0313307554890196e-05,2.4815544165318307e-06,0.06999650017499125,0.2520873956302185,0.9047619047619048
B,504,realized_variance,residual_aware_qr,structured_q0,21,-2.5559969531968862e-05,7.2009270318199316e-06,-4.13870366525898e-05,-1.3954276999449725e-05,-4.29070594338864e-05,-8.212879630051319e-06,4.999750012499375e-05,0.00119994000299985,0.9523809523809523
B,504,qlike,residual_aware_qr,equal_weight,21,0.5197676188363254,0.7741801898533728,-0.533695988118461,2.194700337562108,-1.3324111835585635,2.3719464212312142,0.8423578821058947,0.9956002199890005,0.7142857142857143
B,504,qlike,residual_aware_qr,ledoit_wolf,21,0.1553474370678828,0.23537195704910005,-0.22229646391966937,0.662273411213542,-0.41226284312519845,0.722957717260964,0.5070746462676866,0.9964001799910005,0.6666666666666666
B,504,qlike,residual_aware_qr,nonlinear_shrinkage_qis,21,0.41888895073897314,0.2612786627269375,0.010131794054815738,0.9848834782020316,-0.2113261177542336,1.0491040192321799,0.07639618019099045,0.41722913854307286,0.47619047619047616
B,504,qlike,residual_aware_qr,oas_shrinkage,21,-0.04073881012129292,0.23632349572957026,-0.43526369189871883,0.4599608519371038,-0.6137428432308767,0.5322652229882909,0.8498075096245188,1.0,0.8095238095238095
B,504,qlike,residual_aware_qr,pca_matched,21,-5.429743419207971,2.8679960510135154,-11.49635939197762,-1.8488185000674946,-12.31492922185072,1.4554423834347787,4.999750012499375e-05,0.1926903654817259,1.0
B,504,qlike,residual_aware_qr,pca_plus_two,21,-1.2142528016975613,0.3446999069821838,-1.9115639928110078,-0.5886841899215041,-2.0476048967469733,-0.3809007066481491,0.00039998000099995,0.0020998950052497373,0.9523809523809523
B,504,qlike,residual_aware_qr,poet_soft_c0_5,21,0.03441491932843389,0.2020819930125607,-0.2952974741503822,0.46770060608207475,-0.45471736115692923,0.523547199813797,0.8591570421478926,1.0,0.7619047619047619
B,504,qlike,residual_aware_qr,ridge_10pct,21,0.4285412729447323,0.2564193218805781,0.02563800378918322,0.9781431009745521,-0.18856878693779056,1.0456513328272552,0.05394730263486826,0.35623218839058046,0.5238095238095238
B,504,qlike,residual_aware_qr,sample_covariance,21,-0.42607214911528457,0.2170145741214972,-0.7897313292001834,0.03316041716291715,-0.9542217671992728,0.10207746896870362,0.05969701514924254,0.15709214539273036,0.9047619047619048
B,504,qlike,residual_aware_qr,structured_q0,21,-5.595291623956901,2.7638349831234583,-11.390615689995817,-2.214031086292487,-12.223311311448459,1.032728063534658,4.999750012499375e-05,0.13404329783510824,0.9523809523809523
